1,2,3,4
Jericho,2.3,1.7,1
Bethlehem,1.8,1.5,1
Hebron,2.2,1.8,2
North Gaza,2.2,1.8,2
Gaza,2,1.8,2
Deir Al 0 Balah,2.2,1.8,2
Khanyunis,2,1.7,2
Rafah,2.1,1.8,2
Number of housing units ,,,
Palestine,466651,584550,964816
West Bank,314230,369790,610132
Gaza Strip,152421,214760,354684
Jenin,36938,46541,76790
Tubas,6650,8628,14236
Tulkarm,25849,29708,49016
Qalqilya,12957,16000,26399
Salfit,9144,10958,18080
Nablus,49516,58750,96934
Ramallah & Al0Bireh,43691,49637,81898
Jerusalem,25979,23190,38262
Jericho,6287,7262,11982
Bethlehem,27266,31471,51925
Hebron,69953,87645,144609
North Gaza,25147,39604,65407
Gaza,57164,75023,123903
Deir Al 0 Balah,20438,31340,51759
Khanyunis,31544,42402,70028
Rafah,18128,26391,43586
Connection to electricity,,,
Palestine,389753,584550,964816
West Bank,256935,369790,610132
Gaza Strip,132818,214760,354684
Jenin,32206,46541,76790
Tubas,5488,8628,14236
Tulkarm,22057,29708,49016
Qalqilya,11273,16000,26399
Salfit,7645,10958,18080
Nablus,41770,49637,96934
Ramallah & Al0Bireh,34258,48974,81898
Jerusalem,18818,23190,38262
Jericho,5022,7262,11982
Bethlehem,22105,31471,51925
Hebron,56293,87645,144609
North Gaza,22599,39604,65407
Gaza,48489,75023,123903
Deir Al 0 Balah,18905,31340,51759
Khanyunis,26971,42402,70028
Rafah,15854,26391,43586
No. of households ,,,
Palestine,407265,646413,959300
West Bank,262736,427097,615336
Gaza Strip,144529,219316,343964
Jenin,32886,47437,66905
Tubas,5796,9004,13913
Tulkarm,22324,29938,39134
Qalqilya,11419,59663,23818
Salfit,7833,16483,15203
Nablus,42935,11103,81893
Ramallah & Al0Bireh,34785,52834,74833
Jerusalem,19013,7615,90093
Jericho,5120,70434,11212
Bethlehem,22743,32667,46457
Hebron,57882,89919,151875
North Gaza,24974,40371,67848
Gaza,52515,76868,118990
Deir Al 0 Balah,20868,32078,49525
Khanyunis,28693,43179,64976
Rafah,17479,26820,42625
