Commit_ID,Commit_Developer,,Commit_Date,Day
b4a5a4c,Abdullrahman ElHayek,fix button poisition in the search bar,2019-06-20 13:05:08 +0300,
0b2d91d,Abdullrahman ElHayek,new landing-page image,2019-06-11 17:14:38 +0300,
77d0597,Abdullrahman ElHayek,centre the search bar in the main page,2019-06-11 17:13:38 +0300,
ff92b39,Abdullrahman ElHayek,adding a new landing page image ( for the search bar ),2019-06-11 15:51:14 +0300,
3d08100,Abdullrahman ElHayek,unify uploaded image for related topics,2019-06-11 15:21:51 +0300,
8e6112f,Abdullrahman ElHayek,Y starts at 0 for vertical,2019-06-11 12:15:47 +0300,
b2621ac,Abdullrahman ElHayek,fix search pagintation version 2 ..,2019-06-09 14:42:02 +0300,
b54b947,Abdullrahman ElHayek,fix search pagintation version 1 ..,2019-06-09 14:19:00 +0300,
4c0fd5d,Abdullrahman ElHayek,change search / sort action to be on chnage rather than on click,2019-06-09 13:01:08 +0300,
e4477d9,Morad Taleeb,Datasets wizard: autoho highlight required fields when they're being filled or empty,2019-06-01 14:48:24 +0300,
c4689e8,Morad Taleeb,Datasets wizard: fixed required fields labels,2019-06-01 13:59:18 +0300,
e11ad1a,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-06-01 13:26:29 +0300,
42e7416,Morad Taleeb,Datasets and Files: Added reset to language filter,2019-06-01 13:26:18 +0300,
f41b2d8,Abdullrahman ElHayek,Testing search with less tolerance for phrases,2019-05-31 18:44:37 +0300,
3a5af90,Abdullrahman ElHayek,18 item per page,2019-05-31 18:16:43 +0300,
ade8327,Morad Taleeb,Styled ais pagination,2019-05-31 15:19:23 +0300,
1cc7dac,Morad Taleeb,Made search icon clickable,2019-05-31 14:33:21 +0300,
7bc2e27,Abdullrahman ElHayek,fix the file .. search v3,2019-05-30 12:21:30 +0300,
b5fd01d,Abdullrahman ElHayek,fix return key with multi-select,2019-05-30 11:35:47 +0300,
a1d2095,Abdullrahman ElHayek,x - y labeling,2019-05-30 11:15:17 +0300,
cd31003,Abdullrahman ElHayek,fix v4 of file navigation,2019-05-30 11:07:20 +0300,
276965d,Abdullrahman ElHayek,fix v3 of file navigation,2019-05-30 10:39:16 +0300,
875522,Abdullrahman ElHayek,fix v2 for file and enter problem,2019-05-30 10:18:15 +0300,
7332899,Abdullrahman ElHayek,fix file upload problem ( anchor to button ),2019-05-30 10:05:45 +0300,
df7cc0f,Abdullrahman ElHayek,fix visulize for : It doesnï¿½ï¿½ï¿½t recognize the value column as a numeric variable File I,2019-05-29 19:23:31 +0300,
1a2eeab,Abdullrahman ElHayek,fix search for : Number of Schools in Palestine by Region and Academic Year Percentage of Individuals 15 Years + with Bachelor's Degree and above by Country problem is that apostrophe s,2019-05-29 18:55:32 +0300,
0a94f2c,Abdullrahman ElHayek,fix add new file modal dismissal by pressing enter,2019-05-29 18:16:18 +0300,
03e0bb3,Abdullrahman ElHayek,fix file delete from the main grid after search,2019-05-29 17:55:46 +0300,
d16ff04,Abdullrahman ElHayek,only datasets at production will show in algolia,2019-05-29 17:28:04 +0300,
970b155,Abdullrahman ElHayek,update remaining datasets,2019-05-29 17:22:24 +0300,
c86b536,Abdullrahman ElHayek,update all datasets information,2019-05-29 17:06:26 +0300,
1691f89,Abdullrahman ElHayek,add audit information for algolia backend,2019-05-29 16:06:57 +0300,
2eeb69b,Abdullrahman ElHayek,Only one dot after a sentence,2019-05-28 15:42:31 +0300,
0bb82fd,Abdullrahman ElHayek,fixed request and suggestion form + contact_us message,2019-05-28 15:40:40 +0300,
453bd5c,Abdullrahman ElHayek,add ais-pagination to algolia search : needs styling from morad,2019-05-28 12:35:38 +0300,
2ba7a4e,Karam Hijazi,Merge pull request #28 from knafeh/bug-fixes,5/27/2019 10:13,
72177ec,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into bug-fixes,5/27/2019 10:12,
8e84d47,Karam Hijazi,fix the styling with only upload button,5/27/2019 10:11,
e9f2e97,Abdullrahman ElHayek,fix order sort naming as Lour wants,2019-05-27 15:26:07 +0300,
35d8eab,abdullrahman yusuf elhayek,Merge pull request #27 from knafeh/bug-fixes,2019-05-27 15:17:29 +0300,
6fef99c,Morad Taleeb,Sort and Order by text,2019-05-25 15:23:02 +0300,
85907a9,Karam Hijazi,fixing bugs,5/25/2019 2:26,
26b580c,Abdullrahman ElHayek,fix footer messages,2019-05-23 13:38:35 +0300,
d789de9,Abdullrahman ElHayek,change reply message,2019-05-23 13:33:41 +0300,
81d57c2,Abdullrahman ElHayek,add search by ID,2019-05-23 13:21:59 +0300,
ca97ce3,Abdullrahman ElHayek,restore it to normal test dfsdf problem,2019-05-23 11:34:02 +0300,
5ce1121,Abdullrahman ElHayek,debug test dfsdf problem,2019-05-23 11:22:15 +0300,
26e34d1,Abdullrahman ElHayek,remove year scaling for plotly,2019-05-22 15:07:10 +0300,
db5ac88,Abdullrahman ElHayek,fix year scaling for plolty.,2019-05-22 14:50:12 +0300,
e04b557,Abdullrahman ElHayek,fix year scaling for highchart line chart,2019-05-22 13:15:45 +0300,
6b2d8cf,Abdullrahman ElHayek,fix year scaling for chartjs line chart,2019-05-22 13:03:38 +0300,
f9855df,abdullrahman yusuf elhayek,Merge pull request #26 from knafeh/bug-fixes,2019-05-22 10:47:30 +0300,
5d06065,Karam Hijazi,added error handling when creating a user,5/21/2019 23:49,
b9b1e61,Karam Hijazi,merged code,5/21/2019 23:29,
7ba1759,Karam Hijazi,fixed bugs and added validation,5/21/2019 23:28,
739d3fc,Morad Taleeb,Datasets: fixed form tabs validation,2019-05-22 00:56:26 +0300,
616d8dc,Karam Hijazi,Merge pull request #25 from knafeh/bug-fixes,5/20/2019 9:43,
b500126,Karam Hijazi,merged code,5/20/2019 9:42,
2679687,Karam Hijazi,making tabs cusor pointer,5/20/2019 9:42,
2d7fe08,Abdullrahman ElHayek,fix plotly map,2019-05-20 15:38:18 +0300,
1096c9d,Karam Hijazi,Merge pull request #24 from knafeh/bug-fixes,5/20/2019 8:00,
a90012c,Abdullrahman ElHayek,fix year ordering,2019-05-20 15:00:22 +0300,
34c4ec8,Karam Hijazi,fixing the gov navigation,5/20/2019 8:00,
0c05c03,Abdullrahman ElHayek,fix language,2019-05-20 14:00:09 +0300,
5ae8fc3,Abdullrahman ElHayek,fix plotly map,2019-05-20 12:10:57 +0300,
fd60d5f,abdullrahman yusuf elhayek,Merge pull request #23 from knafeh/bug-fixes,2019-05-20 12:07:22 +0300,
00b10c2,Karam Hijazi,merged code,5/19/2019 17:45,
61a93ef,Karam Hijazi,fixing all bugs,5/19/2019 17:43,
25be0f1,Morad Taleeb,Request form: setting required fields for response type,2019-05-19 21:41:33 +0300,
5cc24fe,Abdullrahman ElHayek,fix the footer,2019-05-19 11:52:59 +0300,
a2e3e20,Abdullrahman ElHayek,fix plotly map height,2019-05-19 11:36:05 +0300,
9bbbdba,Abdullrahman ElHayek,fix save dataset,2019-05-19 11:26:42 +0300,
166f805,Karam Hijazi,added generalsettings into common ar english,5/18/2019 19:41,
969359f,Morad Taleeb,contact form: signature date and time to be set with current values,2019-05-18 16:48:38 +0300,
660fd72,Morad Taleeb,Fixed showing charts,2019-05-18 16:08:38 +0300,
d6832b9,Morad Taleeb,fixed multiselect styling,2019-05-18 14:47:44 +0300,
f540620,Morad Taleeb,updated multiselect package,2019-05-18 14:33:40 +0300,
15a8c87,Morad Taleeb,Files: showing full title,2019-05-18 12:14:38 +0300,
4663256,Morad Taleeb,Datasets: showing the full title,2019-05-18 11:53:10 +0300,
6e3eb3b,Abdullrahman ElHayek,add default values for pointstyle and radius (line chart),2019-05-16 11:56:30 +0300,
12d9fad,Abdullrahman ElHayek,fix the app js with run production,2019-05-16 11:33:17 +0300,
e3f17b6,Morad Taleeb,changed order text to sort,2019-05-15 17:51:08 +0300,
024c06f,Morad Taleeb,datasets wizard: colored prev button same as next color,2019-05-15 17:47:35 +0300,
a4ba0b5,Morad Taleeb,datasets wizard: added previous button to the tabs,2019-05-15 17:38:18 +0300,
b486106,Morad Taleeb,datasets wizard: not to auto switch to library tab after choosing a file,2019-05-15 17:29:10 +0300,
8807ebe,Morad Taleeb,removed quick links menu,2019-05-15 17:16:22 +0300,
d98ad85,Abdullrahman ElHayek,fix the language handler v2,2019-05-15 14:34:50 +0300,
ebae967,Abdullrahman ElHayek,fix the language handler,2019-05-15 14:15:49 +0300,
b8a0325,Abdullrahman ElHayek,fix appjs for plotly,2019-05-15 13:32:59 +0300,
acc811d,Abdullrahman ElHayek,modify plotly readme v2,2019-05-15 13:11:53 +0300,
040c26d,Abdullrahman ElHayek,modify plotly readme,2019-05-15 13:09:43 +0300,
949f855,abdullrahman yusuf elhayek,Merge pull request #22 from knafeh/bug-fixes,2019-05-15 13:06:42 +0300,
31e0dd2,Karam Hijazi,merged code with master,5/14/2019 21:20,
c4a8519,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into bug-fixes,5/14/2019 21:19,
0c4a05a,Karam Hijazi,fixed bug to edit governorate,5/14/2019 21:19,
b65b7b8,Abdullrahman ElHayek,span gap empty values for highchart,2019-05-14 15:57:02 +0300,
b46c4fa,Abdullrahman ElHayek,span gap empty values for chartjs,2019-05-14 15:17:51 +0300,
d09d429,Abdullrahman ElHayek,modify map v3 readme,2019-05-14 13:49:34 +0300,
2f83f16,Abdullrahman ElHayek,modify map v3,2019-05-14 13:37:24 +0300,
2bb2288,Abdullrahman ElHayek,modify map v2,2019-05-14 13:34:52 +0300,
5ee4ee1,Abdullrahman ElHayek,modify map,2019-05-14 12:56:43 +0300,
5e31f9b,Abdullrahman ElHayek,fix arabic map for plotly,2019-05-14 12:47:58 +0300,
a7067df,abdullrahman yusuf elhayek,Merge pull request #21 from knafeh/bug-fixes,2019-05-13 16:35:56 +0300,
97476ae,Karam Hijazi,merged code with master,5/12/2019 21:14,
264deee,Karam Hijazi,returninh the picture in posts,5/12/2019 21:13,
8fba555,Abdullrahman ElHayek,make style selection from the database // add default access toke the map box options,2019-05-12 13:32:37 +0300,
0c879b5,Abdullrahman ElHayek,make style selection from the database // basic is the default add comment,2019-05-12 13:15:30 +0300,
430ae99,Abdullrahman ElHayek,make style selection from the database,2019-05-12 13:13:58 +0300,
f3ffa9e,Abdullrahman ElHayek,fix delete dataset v3,2019-05-12 11:25:11 +0300,
602d25a,abdullrahman yusuf elhayek,Merge pull request #20 from knafeh/bug-fixes,2019-05-12 04:54:51 +0300,
a06cf82,Karam Hijazi,removed the circle and hide the save btn if the user is deleted,5/11/2019 14:09,
f70290c,Morad Taleeb,delete datasets with order - in progress,2019-05-11 15:01:37 +0300,
54e1d6d,Abdullrahman ElHayek,fix default image path for the topics and library,2019-05-11 13:06:04 +0300,
2c23e01,Abdullrahman ElHayek,fix When users update a file then click on the back to browse,2019-05-11 12:15:52 +0300.,
fec0089,Abdullrahman ElHayek,show all title for topics like library,2019-05-11 11:49:03 +0300,
99d4a38,Abdullrahman ElHayek,Lour map v2 satellite,2019-05-10 23:05:13 +0300,
88fc70f,Abdullrahman ElHayek,Lour map v2,2019-05-10 21:14:11 +0300,
b0ad759,abdullrahman yusuf elhayek,Merge pull request #19 from knafeh/postsFixes,2019-05-10 19:14:42 +0300,
9bf5ec2,Karam Hijazi,merged code with master,5/9/2019 23:23,
1e75895,Karam Hijazi,fixing user issues,5/9/2019 23:21,
ebde35a,Abdullrahman ElHayek,Lour map,2019-05-09 21:58:45 +0300,
4ff653d,Abdullrahman ElHayek,fix confilicts v2,2019-05-09 21:01:48 +0300,
7b64233,Abdullrahman ElHayek,fix confilicts,2019-05-09 21:01:36 +0300,
bba35fb,Abdullrahman ElHayek,fix plotly style for map ..,2019-05-09 20:52:19 +0300,
0cf57e9,Morad Taleeb,Datasets: delete and keep ordering - in progress,2019-05-09 16:54:30 +0300,
703fa63,Morad Taleeb,show visual's full title + fixed visual's head style in Arabic,2019-05-09 16:21:07 +0300,
a49bf00,abdullrahman yusuf elhayek,Merge pull request #18 from knafeh/postsFixes,2019-05-09 11:59:31 +0300,
ca32764,Karam Hijazi,merged code,5/8/2019 19:31,
9699ac2,Karam Hijazi,fixed posts bugs,5/8/2019 19:30,
cdf35b4,Abdullrahman ElHayek,fix empty descritpion for library,2019-05-08 22:43:43 +0300,
e30492c,Abdullrahman ElHayek,fix default for library,2019-05-08 16:50:29 +0300,
6e73d49,Abdullrahman ElHayek,unserilzie the options,2019-05-08 16:21:50 +0300,
60f5dbd,Abdullrahman ElHayek,fix title update for files,2019-05-08 12:49:48 +0300,
c96c18f,Abdullrahman ElHayek,change ol to ul,2019-05-08 12:09:05 +0300,
f9cda99,Morad Taleeb,multiselect fixed arrow color,2019-05-07 17:47:38 +0300,
78d088a,Morad Taleeb,fixed multiselect input  and placeholder style,2019-05-07 17:37:51 +0300,
4120b19,Morad Taleeb,fixed treeselect placeholder style,2019-05-07 17:21:10 +0300,
0dc18ec,Abdullrahman ElHayek,add iframe to the default collection,2019-05-07 15:55:43 +0300,
5766b51,Abdullrahman ElHayek,bullet numbering the text v2,2019-05-07 15:50:36 +0300,
556f642,Abdullrahman ElHayek,bullet numbering the text,2019-05-07 15:40:48 +0300,
4ebe4de,Abdullrahman ElHayek,set default image for every charttype (library and topics index),2019-05-07 15:09:26 +0300,
3047409,Abdullrahman ElHayek,set default image for every charttype (dataset index),2019-05-07 15:03:51 +0300,
201665,Abdullrahman ElHayek,change text to lines,2019-05-07 14:29:40 +0300,
ed6ee56,Abdullrahman ElHayek,remove the search bar,2019-05-06 14:48:31 +0300,
7db2585,Abdullrahman ElHayek,fix vizabi error code,2019-05-06 14:44:21 +0300,
2f90f7d,Abdullrahman ElHayek,fix wrong iframe,2019-05-06 14:32:12 +0300,
b3e1c75,Abdullrahman ElHayek,fix file save bug,2019-05-06 12:46:02 +0300,
7102732,abdullrahman yusuf elhayek,Merge pull request #17 from knafeh/active/deletedUsers,2019-05-06 12:31:55 +0300,
5b4e0ff,Karam Hijazi,able to restore users,5/6/2019 5:28,
d2db42a,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into active/deletedUsers,5/6/2019 5:10,
d3b5d4c,Abdullrahman ElHayek,fix route,2019-05-06 12:09:07 +0300,
2963410,Abdullrahman ElHayek,change discription place for the library,2019-05-06 11:29:32 +0300,
835d746,Karam Hijazi,show deleted users,5/5/2019 23:39,
fe487fd,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into active/deletedUsers,5/5/2019 20:25,
d82735b,Karam Hijazi,added ui to check if user is active or deleted,5/5/2019 20:25,
a6cf447,Abdullrahman ElHayek,fix restore user call method,2019-05-05 18:42:01 +0300,
0c5100e,Abdullrahman ElHayek,add methods for deteletd user restoration v2,2019-05-05 17:08:57 +0300,
0ea9c51,Abdullrahman ElHayek,add methods for deteletd user restoration,2019-05-05 16:58:14 +0300,
49c2560,Abdullrahman ElHayek,add default img for each dataset if no one is chosen,2019-05-05 15:52:00 +0300,
0d5582a,abdullrahman yusuf elhayek,Merge pull request #16 from knafeh/bug-fixes,2019-05-05 09:21:16 +0300,
238cf06,Morad Taleeb,Auth: email used validation message/text changed,2019-05-04 23:15:15 +0300,
18d337a,Karam Hijazi,reverted button changes,5/4/2019 10:40,
64c9ad7,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into bug-fixes,5/4/2019 10:03,
e16b4f5,Karam Hijazi,fixed the buttons,5/4/2019 9:38,
87b8a35,Morad Taleeb,Datasets  wizard: iFrame validation,2019-05-04 12:21:36 +0300,
77afcac,Morad Taleeb,Dataset w wizard: topics validation,2019-05-04 11:16:03 +0300,
b2f672e,Karam Hijazi,merged code with master,5/4/2019 2:29,
7c04706,Karam Hijazi,did some fixes,5/4/2019 2:28,
303f527,Morad Taleeb,Dataets wizard validadation,2019-05-01 19:11:07 +0300,
22ab8df,Morad Taleeb,Select library type e automatically,2019-05-01 17:41:36 +0300,
bf8f878,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-05-01 16:27:30 +0300,
eea83c5,Morad Taleeb,Datasets wizard validation on tabs navigation,2019-05-01 16:27:16 +0300,
9a4edb7,Karam Hijazi,Merge pull request #15 from knafeh/bug-fixes,5/1/2019 9:18,
621d75f,Karam Hijazi,switched roles to label,5/1/2019 9:17,
38904d5,Karam Hijazi,Merge pull request #14 from knafeh/bug-fixes,5/1/2019 9:14,
f3688da,Karam Hijazi,fixed session delet message,5/1/2019 9:12,
b93c0e1,abdullrahman yusuf elhayek,Merge pull request #13 from knafeh/bug-fixes,2019-05-01 16:10:55 +0300,
d16c2f6,Karam Hijazi,fixed adduser,5/1/2019 9:10,
9612dbd,Karam Hijazi,merged code,5/1/2019 9:08,
6a25c47,Karam Hijazi,added alerts,5/1/2019 9:07,
5aa8f63,Abdullrahman ElHayek,fix When the language is in Arabic and the user tries to include English topics,2019-05-01 14:59:25 +0300,
3bab1db,Abdullrahman ElHayek,fix tree direction text,2019-05-01 14:45:22 +0300,
5b39167,Abdullrahman ElHayek,If the user chooses plotly or vizabi,2019-05-01 14:11:01 +0300,
b92650b,Abdullrahman ElHayek,fix text losing chars problem v2,2019-05-01 13:43:38 +0300,
239c4bf,Abdullrahman ElHayek,fix text losing chars problem,2019-05-01 13:38:49 +0300,
bf722d2,Abdullrahman ElHayek,fix switch labels for inputs in chartjs as it happens in the visuals,2019-05-01 13:16:02 +0300,
2429c90,Abdullrahman ElHayek,fix bubble styling,2019-05-01 12:57:47 +0300,
9924eec,Abdullrahman ElHayek,fix map styling v2,2019-05-01 12:39:34 +0300,
a1d5df6,Abdullrahman ElHayek,fix map styling,2019-05-01 12:17:16 +0300,
dbc4d10,Abdullrahman ElHayek,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-05-01 11:43:22 +0300,
0e0e0c3,Abdullrahman ElHayek,fix zoom,2019-05-01 11:40:31 +0300,
7de4988,Morad Taleeb,datasets wizard: go to next tab only on next button click | validations to be done in another commit,2019-05-01 10:53:59 +0300,
da930fd,Abdullrahman ElHayek,test out for IE v2,2019-04-30 16:18:33 +0300,
1409c3f,Abdullrahman ElHayek,test out for IE,2019-04-30 12:21:37 +0300,
0de9303,Abdullrahman ElHayek,print out session id,2019-04-30 11:45:25 +0300,
40bc855,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-29 13:07:51 +0300,
6de2cc4,Morad Taleeb,made library topic filter sticky on scrolling,2019-04-29 13:07:38 +0300,
81b37ba,Abdullrahman ElHayek,restore topics list,2019-04-28 11:37:49 +0300,
105f2e7,Abdullrahman ElHayek,make files epic statefull . optimized state,2019-04-28 11:10:52 +0300,
0dffdd3,Karam Hijazi,merged code,4/27/2019 19:02,
3b4d4e8,Karam Hijazi,added translations,4/27/2019 19:02,
6a368cb,Abdullrahman ElHayek,make files epic statefull . needs more testing,2019-04-27 17:02:46 +0300,
ff426ac,Abdullrahman ElHayek,secure call for JQUERY,2019-04-27 14:43:19 +0300,
c285f48,Abdullrahman ElHayek,default value for plotly_scale = 1,2019-04-27 14:18:59 +0300,
a13bdce,Morad Taleeb,Fixed library filters styling,2019-04-26 21:37:53 +0300,
84ce116,Morad Taleeb,Added topics filter to the top,2019-04-26 21:24:57 +0300,
a558a4d,Morad Taleeb,Added placeholders to multiselects on library options,2019-04-26 19:28:08 +0300,
9eafcb4,Morad Taleeb,fixed showing xlabel for charts in admin dhashboard,2019-04-26 18:32:47 +0300,
db90676,Morad Taleeb,Changed translation text,2019-04-26 15:22:41 +0300,
6982c33,Morad Taleeb,Applied Arabic font for auth and dashboard pages,2019-04-26 15:10:31 +0300,
f023a4c,Morad Taleeb,Applied arabic font for front-end pages,2019-04-26 15:03:20 +0300,
101194d,Morad Taleeb,pulled code,2019-04-26 15:00:37 +0300,
f09baff,Karam Hijazi,Merge branch 'master' of https://github.com/knafeh/indicators-new into bug-fixes,4/25/2019 21:30,
1a708e1,Karam Hijazi,added translations,4/25/2019 21:30,
fe52b1e,Abdullrahman ElHayek,add missing attributes to User model,2019-04-25 21:53:34 +0300,
cf2af73,Abdullrahman ElHayek,add validator to UserCOntroller,2019-04-25 21:39:21 +0300,
9bd435c,abdullrahman yusuf elhayek,Merge pull request #12 from knafeh/bug-fixes,2019-04-25 20:49:07 +0300,
b7c077b,Abdullrahman ElHayek,shorting the setence for file selected topic noResult,2019-04-25 15:18:45 +0300,
25f3e94,Abdullrahman ElHayek,fix name update vlidation,2019-04-25 15:15:17 +0300,
e3a000e,Abdullrahman ElHayek,remove the x button,2019-04-25 15:09:56 +0300,
e47f51f,Abdullrahman ElHayek,fix bug for unsetted file id v3,2019-04-25 14:29:12 +0300,
a08982e,Abdullrahman ElHayek,fix bug for unsetted file id v2,2019-04-25 14:01:39 +0300,
832876a,Abdullrahman ElHayek,fix bug for unsetted file id,2019-04-25 13:59:23 +0300,
bb46fd0,Abdullrahman ElHayek,fix getting periods directly from datasets related files,2019-04-25 13:39:28 +0300,
52b1032,Abdullrahman ElHayek,fix misspelling related_id => dataset,2019-04-25 12:00:50 +0300,
a84dbab,Abdullrahman ElHayek,fix label shifting between horiztoal and vertical bars,2019-04-25 11:57:05 +0300,
8ec095a,Karam Hijazi,removed logs,4/25/2019 0:16,
130d7cd,Karam Hijazi,removed logs,4/25/2019 0:15,
72ab006,Karam Hijazi,merged code with master,4/25/2019 0:13,
11fca85,Karam Hijazi,removed code,4/25/2019 0:12,
64e8813,Karam Hijazi,user can save profile,4/25/2019 0:12,
42c0ca6,Abdullrahman ElHayek,fix search bug in file collection to the else,2019-04-24 17:27:04 +0300,
514d380,Abdullrahman ElHayek,fix search bug in file and dataset,2019-04-24 17:20:34 +0300,
4fbe1a5,Abdullrahman ElHayek,fix styling of library as suggested by bashar,2019-04-24 13:41:24 +0300,
332bde2,Abdullrahman ElHayek,fix bug in homepage routing,2019-04-24 12:37:31 +0300,
6e760e2,Abdullrahman ElHayek,fix back arrow in library,2019-04-24 11:53:09 +0300,
32a9792,abdullrahman yusuf elhayek,Merge pull request #11 from knafeh/bug-fixes,2019-04-24 11:34:24 +0300,
27b3716,Karam Hijazi,delete user from edit screen,4/23/2019 20:57,
daac99a,Karam Hijazi,merged code with master,4/23/2019 20:34,
7bc181f,Karam Hijazi,fixed some small bugs,4/23/2019 20:31,
26eadee,Morad Taleeb,Changed all arabic body fonts to Arial,2019-04-23 23:52:38 +0300,
e7d15d9,Morad Taleeb,Upload new file button added to top in edit form,2019-04-23 23:41:46 +0300,
73bdce2,Abdullrahman ElHayek,fix sort v2 for both index library and index topics library,2019-04-23 22:32:23 +0300,
12fc7a4,Abdullrahman ElHayek,restore sort by algolia asc and desc for the library,2019-04-23 20:32:05 +0300,
6f6a2f0,Abdullrahman ElHayek,fix clear column name,2019-04-23 15:09:08 +0300,
34ebe10,Abdullrahman ElHayek,only chartjs and highchart should have export of png image,2019-04-23 13:46:33 +0300,
393a569,Abdullrahman ElHayek,fix add post/ edit post,2019-04-23 13:22:35 +0300,
dcc6c4f,Abdullrahman ElHayek,fix create file with mutiselect topic,2019-04-23 11:53:07 +0300,
e41a62e,Abdullrahman ElHayek,restore multi select to topics in files and datasets,2019-04-23 11:41:37 +0300,
350aaf8,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-22 23:50:46 +0300,
099215f,Morad Taleeb,activate dashboard links even if in details pages,2019-04-22 23:50:21 +0300,
f3ae7cf,abdullrahman yusuf elhayek,Merge pull request #10 from knafeh/postSmallFixes,2019-04-22 23:43:23 +0300,
22cb2db,Morad Taleeb,Added upload file field to files edit form,2019-04-22 23:22:01 +0300,
f32c8da,Morad Taleeb,removed favorites menu link from dashboard header,2019-04-22 23:08:48 +0300,
527b9bc,Karam Hijazi,removed log and merged code with master,4/22/2019 15:33,
cf05c28,Karam Hijazi,fixed some bugs with the topis page,4/22/2019 15:32,
35f85ea,Abdullrahman ElHayek,points and their styles are limited to line charts,2019-04-22 16:25:11 +0300,
c4dd9d7,Abdullrahman ElHayek,translate and fix point_style and lengend position arabic and english,2019-04-22 16:19:07 +0300,
ee8ba04,Abdullrahman ElHayek,fix validator title names for Files v2,2019-04-22 15:46:04 +0300,
21e8bfc,Abdullrahman ElHayek,fix validator title names for Files,2019-04-22 15:40:16 +0300,
29718ab,Abdullrahman ElHayek,When the language is in Arabic and the user tries to include English topics,2019-04-22 15:20:46 +0300,
9210863,Abdullrahman ElHayek,fix dataset -> topics saving . fix dataset/library -> remove _ from names,2019-04-22 14:48:47 +0300,
ebb55ec,Morad Taleeb,fixed opening files form,2019-04-21 23:47:44 +0300,
57b2b2d,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-21 23:26:55 +0300,
6531919,Morad Taleeb,translated validation messages,2019-04-21 23:18:18 +0300,
97fd7f6,Abdullrahman ElHayek,fix backend topic for one topic selection dataset,2019-04-21 17:50:25 +0300,
fe90a86,Abdullrahman ElHayek,fix backend topic for one topic selection,2019-04-21 17:42:20 +0300,
cfe55fc,Abdullrahman ElHayek,change mutiple topic to single topic in the files and datasets,2019-04-21 16:53:12 +0300,
6419369,Abdullrahman ElHayek,fix tab navigation when error arises,2019-04-21 16:48:04 +0300,
2a0a307,Abdullrahman ElHayek,error message danger success message sucess,2019-04-21 14:55:32 +0300,
4fa3f9e,Morad Taleeb,replaced taken with used in validations,2019-04-20 22:15:18 +0300,
0627cda,Morad Taleeb,Activate files link when you select a file,2019-04-20 21:36:09 +0300,
4114e6b,Morad Taleeb,Datasets: show 18 card per page instead of 20,2019-04-20 20:57:29 +0300,
9e05bb6,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-20 20:45:35 +0300,
35d3368,Morad Taleeb,Library: card topics style like the files,2019-04-20 20:42:30 +0300,
4b05fac,Abdullrahman ElHayek,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-20 20:20:48 +0300,
36af866,Abdullrahman ElHayek,restore iframe among options,2019-04-20 20:19:45 +0300,
040b3f1,Morad Taleeb,Datasets form: fixed la language filter selection,2019-04-19 21:22:57 +0300,
2927036,Morad Taleeb,Dataset form: fixed info line style,2019-04-19 20:52:13 +0300,
cf399a2,Morad Taleeb,Datasets form: filter by topics placeholder,2019-04-18 23:18:16 +0300,
430cec9,Morad Taleeb,Datasets form: added and translated placeholders,2019-04-18 23:12:42 +0300,
552795f,Morad Taleeb,Datasets: some translations for form keywords,2019-04-18 19:08:22 +0300,
1dbfe39,Morad Taleeb,removed subtitle from plotly options,2019-04-18 18:29:37 +0300,
437cd24,Morad Taleeb,Datasets: merged info and general tabs in dataset form,2019-04-18 18:19:03 +0300,
1.59E+63,Abdullrahman ElHayek,show all topics for the library,2019-04-18 15:59:02 +0300,
902ccb1,Abdullrahman ElHayek,fix routing for library 2 fix main page route 2,2019-04-18 15:51:42 +0300,
2825272,Abdullrahman ElHayek,fix routing for library 2 fix main page route,2019-04-18 04:25:27 +0300,
e0686aa,Abdullrahman ElHayek,fix routing for library 2 comment alerts,2019-04-18 04:15:35 +0300,
8d1da2c,Abdullrahman ElHayek,fix routing for library 2,2019-04-18 04:11:58 +0300,
49ea03e,Abdullrahman ElHayek,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-18 03:46:37 +0300,
45833eb,Abdullrahman ElHayek,fix routing for library,2019-04-18 03:35:18 +0300,
18a0cc0,Morad Taleeb,Library: removed period from dataset cards,2019-04-17 23:59:13 +0300,
fabd2a5,Morad Taleeb,Merge branch 'master' of https://github.com/knafeh/indicators-new,2019-04-17 23:33:23 +0300,
e08a4e5,Morad Taleeb,Library: added title and description to dataset chart,2019-04-17 23:33:04 +0300,
fe8cfd6,Abdullrahman ElHayek,fix horiznat label value,2019-04-17 14:59:01 +0300,
