Commit_ID,Commit_Developer,,Commit_Date,Day
653de46,Abdullrahman ElHayek,fix labels for higchart and chartjs,2/25/2019 5:32,
3.93E+08,Morad Taleeb,Datasets: show selected upload image before saving,2019-02-24 17:25:26 +0200,
63d6b3e,Abdullrahman ElHayek,fix preview upload,2/24/2019 6:30,
deaa13c,Morad Taleeb,test uploading file,2019-02-24 14:25:52 +0200,
65b2429,Morad Taleeb,fixed image uploading,2019-02-24 14:14:42 +0200,
4e9c245,Morad Taleeb,datasets: uploading preview file,2019-02-24 13:23:06 +0200,
0d9fa0d,Morad Taleeb,datasets tabs toggle rtl style fix,2019-02-24 12:46:22 +0200,
a8a8c4e,Morad Taleeb,fixed dataset tabs nav style,2019-02-24 12:41:23 +0200,
15a4af5,Morad Taleeb,trying on files table view,2019-02-23 22:20:13 +0200,
9d8d39a,Morad Taleeb,reverted work on datasets saving,2019-02-23 19:56:46 +0200,
6ca3cc2,Morad Taleeb,trying to fix datasets preview image upload,2019-02-23 19:26:14 +0200,
722560c,Abdullrahman ElHayek,Topic search and sort,2/23/2019 4:15,
3f44ae6,Abdullrahman ElHayek,add preview image code,2/23/2019 1:57,
ecf09c6,Abdullrahman ElHayek,Fix datatables,2019-02-21 17:44:54 +0200,
2388c54,Morad Taleeb,delete confirmation from edit page,2019-02-20 23:10:40 +0200,
20e994e,Morad Taleeb,delete file confirmation,2019-02-20 23:00:59 +0200,
8fd15ca,Morad Taleeb,styled data-table stripped,2019-02-20 21:35:02 +0200,
0a146b8,Morad Taleeb,Print file name in files edit form,2019-02-20 21:11:47 +0200,
c57f5b3,Abdullrahman ElHayek,Fix saving topics,2019-02-20 13:57:16 +0200,
33881b8,Abdullrahman ElHayek,Fix saving topics,2019-02-20 13:49:11 +0200,
6d114dd,Morad Taleeb,Datasets: using multiselect instead of select2,2019-02-20 12:36:54 +0200,
397f581,Morad Taleeb,Files: styled form in edit page,2019-02-19 23:16:57 +0200,
e9b3bb0,Morad Taleeb,Files form: fixed conflict,2019-02-19 22:35:47 +0200,
10d18d5,Morad Taleeb,Files: styled file form,2019-02-19 22:25:20 +0200,
8583b58,Abdullrahman ElHayek,Fix saving topics,2019-02-19 21:12:36 +0200,
7.20E+06,Abdullrahman ElHayek,HighChart fix Arabic,2019-02-19 11:10:19 +0200,
5fd4a65,Morad Taleeb,files: grid style fixes,2019-02-18 22:02:10 +0200,
4a67f06,Morad Taleeb,files: grid styling,2019-02-18 21:55:46 +0200,
33b2aa4,Morad Taleeb,files: filters,2019-02-18 20:47:30 +0200,
